NDB_NO,Description,Protein(g)Per 100 g,Total lipid (fat)(g)Per 100 g,"Carbohydrate, by difference(g)Per 100 g",Weight(g),Measure,Protein per measure,Fat per measure,Carbohydrate per measure
14530,"Whiskey sour mix, bottled, with added potassium and sodium",0.1,--,21.4,32.3,1.0 fl oz,0.03,--,6.91
9437,"Tamarind nectar, canned",0.09,0.12,14.73,251,1.0 cup,0.23,0.3,36.97
14098,"Alcoholic Beverage, wine, table, red, Cabernet Franc",0.07,0,2.45,29.4,1.0 fl oz,0.02,0,0.72
14138,"Alcoholic beverage, wine, table, white, Pinot Blanc",0.07,0,1.94,29.3,1.0 fl oz,0.02,0,0.57
14126,"Alcoholic beverage, wine, table, white, Semillon",0.07,0,3.12,29.5,1.0 fl oz,0.02,0,0.92
14107,"Alcoholic Beverage, wine, table, red, Lemberger",0.07,0,2.46,29.4,1.0 fl oz,0.02,0,0.72
14103,"Alcoholic Beverage, wine, table, red, Petite Sirah",0.07,0,2.68,29.5,1.0 fl oz,0.02,0,0.79
14160,"Alcoholic beverage, wine, table, white, Chardonnay",0.07,0,2.16,29.3,1.0 fl oz,0.02,0,0.63
14140,"Alcoholic beverage, wine, table, white, Muscat",0.07,0,5.23,30,1.0 fl oz,0.02,0,1.57
14132,"Alcoholic beverage, wine, table, white, Riesling",0.07,0,3.74,29.6,1.0 fl oz,0.02,0,1.11
14116,"Alcoholic beverage, wine, table, white, Chenin Blanc",0.07,0,3.31,29.5,1.0 fl oz,0.02,0,0.98
14105,"Alcoholic Beverage, wine, table, red, Claret",0.07,0,3.01,29.4,1.0 fl oz,0.02,0,0.88
14097,"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",0.07,0,2.6,29.4,1.0 fl oz,0.02,0,0.76
14134,"Alcoholic beverage, wine, table, white, Sauvignon Blanc",0.07,0,2.05,29.3,1.0 fl oz,0.02,0,0.6
14106,"Alcoholic beverage, wine, table, white",0.07,0,2.6,29.4,1.0 fl oz,0.02,0,0.76
2050,Vanilla extract,0.06,--,12.65,4.2,1.0 tsp,0,--,0.53
4053,"Oil, olive, salad or cooking",0,100,--,13.5,1.0 tablespoon,0,13.5,--
19706,"Puddings, banana, dry mix, regular, with added oil",0,5,88.4,88,1.0 package (3.12 oz),0,4.4,77.79
19918,"Sweetener, herbal extract powder from Stevia leaf",0,--,100,1,1.0 package,0,--,1
14009,"Alcoholic beverage, daiquiri, canned",0,--,15.7,30.5,1.0 fl oz,0,--,4.79
14614,"Beverages, V8 SPLASH Juice Drinks, Mango Peach",0,--,8.23,243,1.0 serving 8 oz,0,--,20
19129,"Syrups, table blends, pancake",0,--,61.47,314,1.0 cup,0,--,193.02
4582,"Oil, canola",0,100,--,14,1.0 tbsp,0,14,--
19873,"Frozen novelties, ice type, sugar free, orange, cherry, and grape POPSICLE pops",0,--,5.14,55,1.0 serving 1.75 fl oz pop,0,--,2.83
14439,"Water, bottled, non-carbonated, NAYA",0,--,--,29.6,1.0 fl oz,0,--,--
19187,"Flan, caramel custard, dry mix",0,--,91.6,85,1.0 package (3 oz),0,--,77.86
14027,"Alcoholic beverage, whiskey sour, canned",0,--,13.4,30.8,1.0 fl oz,0,--,4.13
4510,"Oil, safflower, salad or cooking, linoleic, (over 70%)",0,100,--,13.6,1.0 tbsp,0,13.6,--
19720,"Syrups, table blends, pancake, with 2% maple, with added potassium",0,0.1,69.6,315,1.0 cup,0,0.32,219.24
4058,"Oil, sesame, salad or cooking",0,100,--,13.6,1.0 tablespoon,0,13.6,--
19906,"Sweeteners, for baking, brown, contains sugar and sucralose",0,--,97.11,12.9,1.0 tbsp,0,--,12.53
14065,"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch",0,--,12.5,200,6.0 fl oz,0,--,25
14559,"Beverages, water, bottled, non-carbonated, EVIAN",0,--,--,29.6,1.0 fl oz,0,--,--
4583,"Oil, mustard",0,100,--,14,1.0 tbsp,0,14,--
14462,"Beverages, Propel Zero, fruit-flavored, non-carbonated",0,--,1.14,29.6,1.0 fl oz,0,--,0.34
4543,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",0,100,--,13.6,1.0 tablespoon,0,13.6,--
14628,"Beverages, Energy drink, AMP, sugar free",0,--,1.03,240,8.0 fl oz,0,--,2.47
14149,"Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners",0,--,5.16,29.6,1.0 fl oz,0,--,1.53
14610,"Beverages, V8 SPLASH Juice Drinks, Diet Tropical Blend",0,--,1.26,238,1.0 serving 8 oz,0,--,3
4584,"Oil, sunflower, high oleic (70% and over)",0,100,--,14,1.0 tbsp,0,14,--
14030,"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12",0,--,11.25,480,16.0 fl oz,0,--,54
4546,"Shortening bread, soybean (hydrogenated) and cottonseed",0,100,--,12.8,1.0 tablespoon,0,12.8,--
14121,"Beverages, carbonated, club soda",0,--,--,29.6,1.0 fl oz,0,--,--
4001,"Fat, beef tallow",0,100,--,12.8,1.0 tbsp,0,12.8,--
14437,"Beverages, water, bottled, non-carbonated, CALISTOGA",0,--,--,29.6,1.0 fl oz,0,--,--
4501,"Oil, cocoa butter",0,100,--,13.6,1.0 tablespoon,0,13.6,--
